'Elapsed time','MCL1 ','III ','V ','ABP ','PAP ','PLETH ','RESP '
0.148,0.022,0.055,0.028,78.9,24.725,-0.4,1.024
0.15,0.023,0.056,0.029,78.9,24.725,-0.4,1.024
0.152,0.024,0.057,0.031,79,24.825,-0.411,1.024
0.154,0.025,0.058,0.033,79,24.825,-0.411,1.024
0.156,0.026,0.059,0.035,79,24.825,-0.411,1.024
0.158,0.027,0.06,0.037,79,24.825,-0.411,1.024
0.16,0.028,0.06,0.039,79.15,25.35,-0.421,1.024
0.162,0.029,0.06,0.041,79.15,25.35,-0.421,1.024
0.164,0.03,0.059,0.043,79.15,25.35,-0.421,1.024
0.166,0.032,0.058,0.044,79.15,25.35,-0.421,1.024
0.168,0.033,0.057,0.046,79.3,26.3,-0.43,1.024
0.17,0.033,0.055,0.048,79.3,26.3,-0.43,1.024
0.172,0.034,0.054,0.05,79.3,26.3,-0.43,1.024
0.174,0.034,0.054,0.052,79.3,26.3,-0.43,1.024
0.176,0.035,0.054,0.054,79.6,27.475,-0.44,1.024
0.178,0.036,0.055,0.056,79.6,27.475,-0.44,1.024
0.18,0.037,0.056,0.058,79.6,27.475,-0.44,1.024
0.182,0.039,0.056,0.06,79.6,27.475,-0.44,1.024
0.184,0.041,0.058,0.064,80.2,28.875,-0.442,1.024
0.186,0.042,0.059,0.067,80.2,28.875,-0.442,1.024
0.188,0.043,0.061,0.071,80.2,28.875,-0.442,1.024
0.19,0.044,0.063,0.075,80.2,28.875,-0.442,1.024
0.192,0.046,0.064,0.079,81.25,30.225,-0.446,1.024
0.194,0.049,0.065,0.082,81.25,30.225,-0.446,1.024
0.196,0.052,0.066,0.086,81.25,30.225,-0.446,1.024
0.198,0.055,0.066,0.089,81.25,30.225,-0.446,1.024
0.2,0.058,0.066,0.092,82.75,31.325,-0.446,1.024
0.202,0.06,0.065,0.096,82.75,31.325,-0.446,1.024
0.204,0.064,0.065,0.1,82.75,31.325,-0.446,1.024
0.206,0.067,0.065,0.103,82.75,31.325,-0.446,1.024
0.208,0.071,0.065,0.107,84.9,32.15,-0.442,1.024
0.21,0.075,0.065,0.112,84.9,32.15,-0.442,1.024
0.212,0.079,0.066,0.117,84.9,32.15,-0.442,1.024
0.214,0.082,0.066,0.122,84.9,32.15,-0.442,1.024
0.216,0.085,0.067,0.127,87.45,32.85,-0.438,1.024
0.218,0.088,0.068,0.131,87.45,32.85,-0.438,1.024
0.22,0.09,0.069,0.136,87.45,32.85,-0.438,1.024
0.222,0.092,0.069,0.14,87.45,32.85,-0.438,1.024
0.224,0.095,0.07,0.144,90.5,33.5,-0.428,1.024
0.226,0.097,0.07,0.148,90.5,33.5,-0.428,1.024
0.228,0.1,0.07,0.151,90.5,33.5,-0.428,1.024
0.23,0.103,0.069,0.154,90.5,33.5,-0.428,1.024
0.232,0.105,0.069,0.155,93.95,33.975,-0.415,1.024
0.234,0.107,0.069,0.157,93.95,33.975,-0.415,1.024
0.236,0.108,0.069,0.157,93.95,33.975,-0.415,1.024
0.238,0.109,0.069,0.157,93.95,33.975,-0.415,1.024
0.24,0.11,0.069,0.158,97.6,34.5,-0.396,1.024
0.242,0.11,0.069,0.158,97.6,34.5,-0.396,1.024
0.244,0.109,0.069,0.159,97.6,34.5,-0.396,1.024
0.246,0.108,0.069,0.159,97.6,34.5,-0.396,1.024
0.248,0.106,0.069,0.159,101.3,34.9,-0.369,1.024
0.25,0.105,0.069,0.158,101.3,34.9,-0.369,1.024
0.252,0.103,0.069,0.157,101.3,34.9,-0.369,1.024
0.254,0.102,0.069,0.155,101.3,34.9,-0.369,1.024
0.256,0.1,0.069,0.152,104.8,35.15,-0.335,1.024
0.258,0.097,0.069,0.149,104.8,35.15,-0.335,1.024
0.26,0.096,0.069,0.145,104.8,35.15,-0.335,1.024
0.262,0.094,0.068,0.141,104.8,35.15,-0.335,1.024
0.264,0.091,0.067,0.137,108,35.15,-0.288,1.024
0.266,0.089,0.065,0.132,108,35.15,-0.288,1.024
0.268,0.086,0.062,0.128,108,35.15,-0.288,1.024
0.27,0.083,0.06,0.123,108,35.15,-0.288,1.024
0.272,0.079,0.057,0.118,110.8,34.975,-0.236,1.024
0.274,0.075,0.054,0.114,110.8,34.975,-0.236,1.024
0.276,0.071,0.052,0.109,110.8,34.975,-0.236,1.024
0.278,0.067,0.051,0.104,110.8,34.975,-0.236,1.024
0.28,0.063,0.05,0.098,112.95,34.625,-0.167,1.024
0.282,0.059,0.049,0.091,112.95,34.625,-0.167,1.024
0.284,0.054,0.048,0.084,112.95,34.625,-0.167,1.024
0.286,0.05,0.047,0.077,112.95,34.625,-0.167,1.024
0.288,0.046,0.045,0.07,114.45,34.1,-0.092,1.024
0.29,0.042,0.043,0.062,114.45,34.1,-0.092,1.024
0.292,0.038,0.041,0.055,114.45,34.1,-0.092,1.024
0.294,0.034,0.039,0.048,114.45,34.1,-0.092,1.024
0.296,0.03,0.036,0.042,115.35,33.375,-0.011,1.024
0.298,0.027,0.034,0.036,115.35,33.375,-0.011,1.024
0.3,0.024,0.032,0.03,115.35,33.375,-0.011,1.024
0.302,0.02,0.029,0.025,115.35,33.375,-0.011,1.024
0.304,0.017,0.026,0.021,115.5,32.575,0.073,1.024
0.306,0.013,0.024,0.017,115.5,32.575,0.073,1.024
0.308,0.01,0.022,0.015,115.5,32.575,0.073,1.024
0.31,0.007,0.021,0.013,115.5,32.575,0.073,1.024
0.312,0.004,0.021,0.011,115.05,31.8,0.162,1.024
0.314,0.001,0.021,0.009,115.05,31.8,0.162,1.024
0.316,-0.002,0.02,0.006,115.05,31.8,0.162,1.024
0.318,-0.004,0.019,0.003,115.05,31.8,0.162,1.024
0.32,-0.007,0.018,0,113.95,30.975,0.248,1.024
0.322,-0.01,0.016,-0.003,113.95,30.975,0.248,1.024
0.324,-0.012,0.015,-0.006,113.95,30.975,0.248,1.024
0.326,-0.014,0.015,-0.009,113.95,30.975,0.248,1.024
0.328,-0.015,0.014,-0.013,112.3,30.1,0.331,1.024
0.33,-0.017,0.013,-0.016,112.3,30.1,0.331,1.024
0.332,-0.018,0.012,-0.018,112.3,30.1,0.331,1.024
0.334,-0.018,0.011,-0.02,112.3,30.1,0.331,1.024
0.336,-0.018,0.01,-0.021,110.2,29.175,0.402,1.024
0.338,-0.019,0.009,-0.023,110.2,29.175,0.402,1.024
0.34,-0.019,0.009,-0.024,110.2,29.175,0.402,1.024
0.342,-0.019,0.008,-0.025,110.2,29.175,0.402,1.024
0.344,-0.019,0.007,-0.025,107.6,28.35,0.465,1.024
0.346,-0.02,0.007,-0.026,107.6,28.35,0.465,1.024
0.348,-0.021,0.009,-0.025,107.6,28.35,0.465,1.024
0.35,-0.021,0.01,-0.023,107.6,28.35,0.465,1.024
0.352,-0.021,0.011,-0.022,104.75,27.75,0.515,1.024
0.354,-0.02,0.011,-0.022,104.75,27.75,0.515,1.024
0.356,-0.02,0.011,-0.021,104.75,27.75,0.515,1.024
0.358,-0.02,0.011,-0.021,104.75,27.75,0.515,1.024
0.36,-0.02,0.011,-0.02,101.65,27.3,0.549,1.024
0.362,-0.02,0.01,-0.019,101.65,27.3,0.549,1.024
0.364,-0.02,0.009,-0.018,101.65,27.3,0.549,1.024
0.366,-0.02,0.008,-0.017,101.65,27.3,0.549,1.024
0.368,-0.019,0.007,-0.017,98.4,26.875,0.573,1.024
0.37,-0.019,0.006,-0.016,98.4,26.875,0.573,1.024
0.372,-0.018,0.006,-0.015,98.4,26.875,0.573,1.024
0.374,-0.018,0.007,-0.014,98.4,26.875,0.573,1.024
0.376,-0.018,0.007,-0.012,95.2,26.65,0.583,1.024
0.378,-0.018,0.008,-0.01,95.2,26.65,0.583,1.024
0.38,-0.017,0.009,-0.008,95.2,26.65,0.583,1.024
0.382,-0.015,0.01,-0.006,95.2,26.65,0.583,1.024
0.384,-0.013,0.011,-0.004,92.2,27,0.573,1.024
0.386,-0.011,0.012,-0.001,92.2,27,0.573,1.024
0.388,-0.011,0.013,0,92.2,27,0.573,1.024
0.39,-0.01,0.014,0.001,92.2,27,0.573,1.024
0.392,-0.009,0.015,0.002,89.45,28,0.551,1.024
0.394,-0.008,0.016,0.003,89.45,28,0.551,1.024
0.396,-0.007,0.017,0.004,89.45,28,0.551,1.024
0.398,-0.006,0.018,0.004,89.45,28,0.551,1.024
0.4,-0.004,0.021,0.005,87.1,29.35,0.521,1.024
0.402,-0.003,0.024,0.007,87.1,29.35,0.521,1.024
0.404,-0.001,0.028,0.009,87.1,29.35,0.521,1.024
0.406,0.001,0.031,0.011,87.1,29.35,0.521,1.024
0.408,0.004,0.037,0.011,85.25,30.525,0.476,1.024
0.41,0.006,0.043,0.012,85.25,30.525,0.476,1.024
0.412,0.007,0.05,0.013,85.25,30.525,0.476,1.024
0.414,0.009,0.057,0.014,85.25,30.525,0.476,1.024
0.416,0.01,0.063,0.015,83.9,31.275,0.419,1.024
0.418,0.011,0.069,0.015,83.9,31.275,0.419,1.024
0.42,0.013,0.073,0.015,83.9,31.275,0.419,1.024
0.422,0.014,0.078,0.014,83.9,31.275,0.419,1.024
0.424,0.015,0.083,0.014,83.05,31.75,0.357,1.024
0.426,0.016,0.087,0.014,83.05,31.75,0.357,1.024
0.428,0.017,0.092,0.015,83.05,31.75,0.357,1.024
0.43,0.017,0.097,0.015,83.05,31.75,0.357,1.024
0.432,0.018,0.102,0.016,82.7,31.925,0.286,1.024
0.434,0.02,0.108,0.017,82.7,31.925,0.286,1.024
0.436,0.021,0.113,0.018,82.7,31.925,0.286,1.024
0.438,0.021,0.117,0.019,82.7,31.925,0.286,1.024
0.44,0.022,0.119,0.018,82.85,31.75,0.213,1.024
0.442,0.023,0.121,0.018,82.85,31.75,0.213,1.024
0.444,0.024,0.12,0.018,82.85,31.75,0.213,1.024
0.446,0.025,0.119,0.018,82.85,31.75,0.213,1.024
0.448,0.025,0.115,0.018,83.3,31.275,0.139,1.024
0.45,0.025,0.111,0.017,83.3,31.275,0.139,1.024
0.452,0.023,0.105,0.016,83.3,31.275,0.139,1.024
0.454,0.021,0.099,0.015,83.3,31.275,0.139,1.024
0.456,0.019,0.092,0.015,84,30.7,0.064,1.024
0.458,0.018,0.086,0.014,84,30.7,0.064,1.024
0.46,0.017,0.079,0.014,84,30.7,0.064,1.024
0.462,0.016,0.072,0.014,84,30.7,0.064,1.024
0.464,0.015,0.065,0.014,84.9,30,-0.006,1.024
0.466,0.014,0.057,0.014,84.9,30,-0.006,1.024
0.468,0.012,0.05,0.014,84.9,30,-0.006,1.024
0.47,0.01,0.043,0.014,84.9,30,-0.006,1.024
0.472,0.008,0.037,0.013,85.8,29.1,-0.068,1.024
0.474,0.006,0.031,0.013,85.8,29.1,-0.068,1.024
0.476,0.004,0.027,0.011,85.8,29.1,-0.068,1.024
0.478,0.001,0.023,0.009,85.8,29.1,-0.068,1.024
0.48,-0.002,0.02,0.006,86.75,28.05,-0.121,1.024
0.482,-0.004,0.017,0.003,86.75,28.05,-0.121,1.024
0.484,-0.007,0.015,0,86.75,28.05,-0.121,1.024
0.486,-0.01,0.012,-0.003,86.75,28.05,-0.121,1.024
0.488,-0.013,0.009,-0.005,87.65,26.825,-0.166,1.024
0.49,-0.015,0.006,-0.008,87.65,26.825,-0.166,1.024
0.492,-0.018,0.004,-0.011,87.65,26.825,-0.166,1.024
0.494,-0.02,0.002,-0.013,87.65,26.825,-0.166,1.024
0.496,-0.021,0.001,-0.015,88.35,25.7,-0.198,1.024
0.498,-0.023,0,-0.016,88.35,25.7,-0.198,1.024
0.5,-0.023,-0.001,-0.017,88.35,25.7,-0.198,1.024
0.502,-0.023,-0.002,-0.018,88.35,25.7,-0.198,1.024
0.504,-0.024,-0.004,-0.018,88.9,24.725,-0.219,1.024
0.506,-0.025,-0.005,-0.019,88.9,24.725,-0.219,1.024
0.508,-0.026,-0.008,-0.018,88.9,24.725,-0.219,1.024
0.51,-0.027,-0.011,-0.018,88.9,24.725,-0.219,1.024
0.512,-0.026,-0.013,-0.017,89.35,23.775,-0.229,1.024
0.514,-0.026,-0.016,-0.016,89.35,23.775,-0.229,1.024
0.516,-0.026,-0.018,-0.015,89.35,23.775,-0.229,1.024
0.518,-0.026,-0.02,-0.014,89.35,23.775,-0.229,1.024
0.52,-0.025,-0.021,-0.013,89.55,23.025,-0.233,1.024
0.522,-0.025,-0.022,-0.011,89.55,23.025,-0.233,1.024
0.524,-0.024,-0.021,-0.011,89.55,23.025,-0.233,1.024
0.526,-0.023,-0.021,-0.011,89.55,23.025,-0.233,1.024
0.528,-0.022,-0.021,-0.011,89.55,22.375,-0.225,1.024
0.53,-0.021,-0.02,-0.011,89.55,22.375,-0.225,1.024
0.532,-0.02,-0.02,-0.011,89.55,22.375,-0.225,1.024
0.534,-0.019,-0.02,-0.011,89.55,22.375,-0.225,1.024
0.536,-0.018,-0.019,-0.011,89.45,22.025,-0.217,1.024
0.538,-0.018,-0.019,-0.011,89.45,22.025,-0.217,1.024
0.54,-0.018,-0.018,-0.011,89.45,22.025,-0.217,1.024
0.542,-0.019,-0.018,-0.01,89.45,22.025,-0.217,1.024
0.544,-0.019,-0.018,-0.009,89.15,21.9,-0.202,1.014
0.546,-0.019,-0.019,-0.008,89.15,21.9,-0.202,1.014
0.548,-0.019,-0.018,-0.007,89.15,21.9,-0.202,1.014
0.55,-0.019,-0.018,-0.007,89.15,21.9,-0.202,1.014
0.552,-0.019,-0.018,-0.006,88.75,22.075,-0.191,1.002
0.554,-0.019,-0.017,-0.006,88.75,22.075,-0.191,1.002
0.556,-0.018,-0.018,-0.005,88.75,22.075,-0.191,1.002
0.558,-0.018,-0.018,-0.005,88.75,22.075,-0.191,1.002
0.56,-0.017,-0.019,-0.004,88.35,22.375,-0.177,0.989
0.562,-0.016,-0.02,-0.002,88.35,22.375,-0.177,0.989
0.564,-0.015,-0.021,0,88.35,22.375,-0.177,0.989
0.566,-0.014,-0.021,0.002,88.35,22.375,-0.177,0.989
0.568,-0.011,-0.019,0.004,87.85,22.85,-0.166,0.975
0.57,-0.008,-0.017,0.007,87.85,22.85,-0.166,0.975
0.572,-0.003,-0.013,0.013,87.85,22.85,-0.166,0.975
0.574,0.002,-0.009,0.019,87.85,22.85,-0.166,0.975
0.576,0.011,-0.004,0.032,87.3,23.25,-0.16,0.962
0.578,0.019,0.001,0.045,87.3,23.25,-0.16,0.962
0.58,0.031,0.003,0.066,87.3,23.25,-0.16,0.962
0.582,0.043,0.005,0.087,87.3,23.25,-0.16,0.962
0.584,0.059,0.001,0.113,86.7,23.6,-0.155,0.949
0.586,0.076,-0.003,0.139,86.7,23.6,-0.155,0.949
0.588,0.094,-0.014,0.167,86.7,23.6,-0.155,0.949
0.59,0.112,-0.025,0.194,86.7,23.6,-0.155,0.949
0.592,0.126,-0.042,0.217,86.1,23.725,-0.158,0.936
0.594,0.139,-0.059,0.24,86.1,23.725,-0.158,0.936
0.596,0.146,-0.077,0.255,86.1,23.725,-0.158,0.936
0.598,0.153,-0.095,0.269,86.1,23.725,-0.158,0.936
0.6,0.154,-0.112,0.276,85.5,23.775,-0.166,0.925
0.602,0.156,-0.129,0.283,85.5,23.775,-0.166,0.925
0.604,0.152,-0.145,0.284,85.5,23.775,-0.166,0.925
0.606,0.148,-0.162,0.285,85.5,23.775,-0.166,0.925
0.608,0.14,-0.178,0.279,84.95,23.825,-0.175,0.914
0.61,0.131,-0.194,0.273,84.95,23.825,-0.175,0.914
0.612,0.113,-0.209,0.251,84.95,23.825,-0.175,0.914
0.614,0.094,-0.225,0.229,84.95,23.825,-0.175,0.914
0.616,0.059,-0.237,0.177,84.3,23.95,-0.189,0.904
0.618,0.023,-0.25,0.126,84.3,23.95,-0.189,0.904
0.62,-0.033,-0.259,0.042,84.3,23.95,-0.189,0.904
0.622,-0.088,-0.267,-0.042,84.3,23.95,-0.189,0.904
0.624,-0.153,-0.272,-0.142,83.65,24.175,-0.207,0.895
0.626,-0.218,-0.276,-0.243,83.65,24.175,-0.207,0.895
0.628,-0.274,-0.278,-0.329,83.65,24.175,-0.207,0.895
0.63,-0.33,-0.279,-0.415,83.65,24.175,-0.207,0.895
0.632,-0.36,-0.277,-0.461,82.95,24.65,-0.227,0.887
0.634,-0.39,-0.275,-0.507,82.95,24.65,-0.227,0.887
0.636,-0.388,-0.27,-0.506,82.95,24.65,-0.227,0.887
0.638,-0.385,-0.264,-0.506,82.95,24.65,-0.227,0.887
0.64,-0.357,-0.253,-0.471,82.3,25.25,-0.248,0.879
0.642,-0.33,-0.241,-0.436,82.3,25.25,-0.248,0.879
0.644,-0.292,-0.223,-0.388,82.3,25.25,-0.248,0.879
0.646,-0.254,-0.204,-0.34,82.3,25.25,-0.248,0.879
0.648,-0.22,-0.181,-0.295,81.75,25.875,-0.269,0.872
0.65,-0.185,-0.158,-0.251,81.75,25.875,-0.269,0.872
0.652,-0.158,-0.135,-0.215,81.75,25.875,-0.269,0.872
0.654,-0.13,-0.111,-0.18,81.75,25.875,-0.269,0.872
0.656,-0.108,-0.09,-0.152,81.25,26.525,-0.296,0.864
0.658,-0.087,-0.069,-0.125,81.25,26.525,-0.296,0.864
0.66,-0.071,-0.052,-0.103,81.25,26.525,-0.296,0.864
0.662,-0.055,-0.035,-0.082,81.25,26.525,-0.296,0.864
0.664,-0.044,-0.022,-0.066,80.8,27.4,-0.319,0.856
0.666,-0.033,-0.01,-0.049,80.8,27.4,-0.319,0.856
0.668,-0.026,-0.002,-0.037,80.8,27.4,-0.319,0.856
0.67,-0.019,0.006,-0.026,80.8,27.4,-0.319,0.856
0.672,-0.014,0.011,-0.018,80.3,28.225,-0.342,0.848
0.674,-0.009,0.017,-0.01,80.3,28.225,-0.342,0.848
0.676,-0.006,0.02,-0.005,80.3,28.225,-0.342,0.848
0.678,-0.003,0.023,0,80.3,28.225,-0.342,0.848
0.68,-0.001,0.025,0.003,79.85,28.35,-0.365,0.837
0.682,0.001,0.026,0.005,79.85,28.35,-0.365,0.837
0.684,0.003,0.028,0.006,79.85,28.35,-0.365,0.837
0.686,0.004,0.029,0.008,79.85,28.35,-0.365,0.837
0.688,0.005,0.029,0.009,79.45,27.525,-0.39,0.825
0.69,0.007,0.029,0.011,79.45,27.525,-0.39,0.825
0.692,0.009,0.029,0.013,79.45,27.525,-0.39,0.825
0.694,0.011,0.029,0.014,79.45,27.525,-0.39,0.825
0.696,0.011,0.029,0.015,79,26.475,-0.407,0.811
0.698,0.012,0.03,0.015,79,26.475,-0.407,0.811
0.7,0.013,0.031,0.015,79,26.475,-0.407,0.811
0.702,0.014,0.032,0.014,79,26.475,-0.407,0.811
0.704,0.015,0.033,0.014,78.65,25.875,-0.428,0.797
0.706,0.015,0.034,0.014,78.65,25.875,-0.428,0.797
0.708,0.015,0.035,0.014,78.65,25.875,-0.428,0.797
0.71,0.014,0.036,0.014,78.65,25.875,-0.428,0.797
0.712,0.014,0.036,0.014,78.35,25.875,-0.448,0.781
0.714,0.014,0.036,0.014,78.35,25.875,-0.448,0.781
0.716,0.014,0.036,0.014,78.35,25.875,-0.448,0.781
0.718,0.014,0.036,0.014,78.35,25.875,-0.448,0.781
0.72,0.014,0.035,0.014,78.1,26.05,-0.465,0.765
0.722,0.014,0.035,0.014,78.1,26.05,-0.465,0.765
0.724,0.014,0.035,0.014,78.1,26.05,-0.465,0.765
0.726,0.014,0.034,0.014,78.1,26.05,-0.465,0.765
0.728,0.015,0.035,0.015,77.9,26,-0.478,0.748
0.73,0.015,0.035,0.015,77.9,26,-0.478,0.748
0.732,0.016,0.035,0.016,77.9,26,-0.478,0.748
0.734,0.017,0.036,0.017,77.9,26,-0.478,0.748
0.736,0.018,0.036,0.018,77.85,25.7,-0.494,0.731
0.738,0.02,0.036,0.02,77.85,25.7,-0.494,0.731
0.74,0.021,0.036,0.021,77.85,25.7,-0.494,0.731
0.742,0.021,0.036,0.021,77.85,25.7,-0.494,0.731
0.744,0.022,0.036,0.022,77.85,25.25,-0.505,0.715
0.746,0.023,0.036,0.023,77.85,25.25,-0.505,0.715
0.748,0.024,0.035,0.025,77.85,25.25,-0.505,0.715
0.75,0.025,0.035,0.026,77.85,25.25,-0.505,0.715
0.752,0.026,0.035,0.028,77.95,24.95,-0.515,0.699
0.754,0.027,0.034,0.03,77.95,24.95,-0.515,0.699
0.756,0.028,0.034,0.032,77.95,24.95,-0.515,0.699
0.758,0.028,0.034,0.034,77.95,24.95,-0.515,0.699
0.76,0.029,0.034,0.037,78.2,25,-0.526,0.683
0.762,0.03,0.034,0.04,78.2,25,-0.526,0.683
0.764,0.032,0.034,0.043,78.2,25,-0.526,0.683
0.766,0.033,0.034,0.046,78.2,25,-0.526,0.683
0.768,0.035,0.034,0.049,78.6,25.425,-0.557,0.667
0.77,0.037,0.034,0.052,78.6,25.425,-0.557,0.667
0.772,0.039,0.035,0.054,78.6,25.425,-0.557,0.667
0.774,0.041,0.035,0.056,78.6,25.425,-0.557,0.667
0.776,0.043,0.036,0.058,79.35,25.95,-0.561,0.651
0.778,0.044,0.037,0.06,79.35,25.95,-0.561,0.651
0.78,0.046,0.038,0.064,79.35,25.95,-0.561,0.651
0.782,0.048,0.04,0.067,79.35,25.95,-0.561,0.651
0.784,0.051,0.041,0.071,80.6,26.35,-0.563,0.635
0.786,0.053,0.041,0.075,80.6,26.35,-0.563,0.635
0.788,0.056,0.043,0.079,80.6,26.35,-0.563,0.635
0.79,0.059,0.044,0.083,80.6,26.35,-0.563,0.635
0.792,0.061,0.045,0.087,82.35,26.7,-0.565,0.62
0.794,0.064,0.047,0.092,82.35,26.7,-0.565,0.62
0.796,0.067,0.048,0.096,82.35,26.7,-0.565,0.62
0.798,0.069,0.049,0.1,82.35,26.7,-0.565,0.62
0.8,0.072,0.05,0.104,84.65,27.05,-0.561,0.604
0.802,0.075,0.051,0.108,84.65,27.05,-0.561,0.604
0.804,0.077,0.051,0.112,84.65,27.05,-0.561,0.604
0.806,0.08,0.052,0.115,84.65,27.05,-0.561,0.604
0.808,0.083,0.053,0.118,87.4,27.575,-0.555,0.59
0.81,0.085,0.055,0.122,87.4,27.575,-0.555,0.59
0.812,0.087,0.057,0.125,87.4,27.575,-0.555,0.59
0.814,0.089,0.058,0.128,87.4,27.575,-0.555,0.59
0.816,0.09,0.059,0.13,90.5,28.35,-0.545,0.576
0.818,0.092,0.059,0.132,90.5,28.35,-0.545,0.576
0.82,0.093,0.059,0.134,90.5,28.35,-0.545,0.576
0.822,0.095,0.058,0.136,90.5,28.35,-0.545,0.576
0.824,0.097,0.059,0.138,93.9,29.225,-0.53,0.563
